,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,matamoros,25.53,-103.25,71.2,44,0,2.15,MX,1603773137
319,cabo san lucas,22.89,-109.91,80.6,69,5,2.24,MX,1603773200
320,farafangana,-22.82,47.83,74.84,70,3,5.97,MG,1603773479
321,olga,43.74,135.29,51.91,61,100,2.68,RU,1603773479
322,hearst,49.68,-83.67,22.64,92,0,4.7,CA,1603773479
323,flinders,-34.58,150.86,66.99,68,83,5.99,AU,1603773479
324,san patricio,28.02,-97.52,78.8,83,20,8.05,US,1603773194
325,methoni,36.82,21.7,61.0,93,0,5.64,GR,1603773479
326,vila do maio,15.13,-23.22,78.8,78,75,10.29,CV,1603773479
327,bundaberg,-24.85,152.35,82.4,61,40,18.34,AU,1603773479
328,ucluelet,48.93,-125.55,45.0,90,96,4.65,CA,1603773451
329,kampot,10.62,104.18,86.0,66,20,8.05,KH,1603773480
330,berkovica,44.62,18.43,41.0,100,0,1.12,BA,1603773480
331,ahuimanu,21.44,-157.84,82.4,74,75,3.36,US,1603773480
332,petropavl,54.88,69.16,33.8,89,90,6.71,KZ,1603773480
333,haines junction,60.75,-137.51,32.14,94,26,7.23,CA,1603773221
334,manzhouli,49.6,117.43,31.8,78,0,21.68,CN,1603773480
335,calarca,4.53,-75.64,61.75,83,79,1.45,CO,1603773480
336,maguling,6.09,124.4,85.37,68,87,5.61,PH,1603773480
337,tiznit,29.58,-9.5,57.94,76,1,1.07,MA,1603773480
338,eufaula,31.89,-85.15,73.0,97,37,7.4,US,1603773480
339,westport,41.14,-73.36,59.0,93,90,3.36,US,1603773038
340,narsaq,60.92,-46.05,33.8,50,84,5.82,GL,1603773202
341,ouallam,14.32,2.09,76.6,18,1,2.86,NE,1603773480
342,dakar,14.69,-17.44,75.2,100,0,2.24,SN,1603773480
343,faya,18.39,42.45,55.4,24,0,5.82,SA,1603773184
344,madaoua,14.07,5.96,75.31,19,0,4.18,NE,1603773481
345,mareeba,-17.0,145.43,87.01,51,88,13.87,AU,1603773201
346,pilot butte,50.47,-104.42,15.8,78,40,9.17,CA,1603773481
347,key largo,25.09,-80.45,82.0,1,71,5.99,US,1603773481
348,lodja,-3.48,23.43,71.24,97,100,2.51,CD,1603773481
349,rocha,-34.48,-54.33,51.19,73,88,10.45,UY,1603773186
350,alta floresta,-9.88,-56.09,71.24,91,55,0.94,BR,1603773481
351,umm kaddadah,13.6,26.69,77.88,24,0,15.97,SD,1603773481
352,burgos,42.34,-3.71,41.0,93,90,12.75,ES,1603773481
353,souillac,-20.52,57.52,77.0,65,40,11.41,MU,1603773194
354,katsuura,35.13,140.3,69.01,64,75,9.17,JP,1603773186
355,iisalmi,63.56,27.19,48.2,93,90,9.17,FI,1603773481
356,namtsy,62.72,129.67,19.4,79,40,4.47,RU,1603773481
357,aykhal,66.0,111.5,-4.0,76,100,2.24,RU,1603773187
358,tupik,54.43,119.93,24.82,93,100,12.8,RU,1603773482
359,bonthe,7.53,-12.51,77.02,87,43,3.69,SL,1603773194
360,rundu,-17.93,19.77,68.02,25,10,3.74,NA,1603773482
361,resistencia,-27.46,-58.98,68.0,82,0,4.7,AR,1603773381
362,pangnirtung,66.15,-65.71,7.0,82,1,6.71,CA,1603773186
363,plettenberg bay,-34.05,23.37,67.24,71,0,2.64,ZA,1603773210
364,miami,25.77,-80.19,82.4,78,75,10.29,US,1603773482
365,seddon,-37.81,144.89,66.2,55,90,16.11,AU,1603773257
366,moussoro,13.64,16.49,76.46,23,0,11.03,TD,1603773482
367,mehamn,71.04,27.85,32.0,76,0,12.75,NO,1603773482
368,dingle,11.0,122.67,85.93,72,91,9.57,PH,1603773203
369,mataram,-8.58,116.12,87.8,62,75,12.75,ID,1603773483
370,fort nelson,58.81,-122.7,30.2,100,90,2.24,CA,1603773483
371,araouane,18.9,-3.53,81.72,15,0,8.12,ML,1603773221
372,rwamagana,-1.95,30.43,64.0,93,75,4.7,RW,1603773483
373,yeppoon,-23.13,150.73,82.4,58,75,13.87,AU,1603773483
374,bonavista,48.65,-53.11,37.99,74,47,5.01,CA,1603773198
375,putyatino,54.16,41.12,36.99,82,90,6.73,RU,1603773483
376,tura,25.52,90.22,83.57,62,63,1.74,IN,1603773197
377,dir,35.21,71.88,68.38,21,0,1.57,PK,1603773483
